,method,f1_micro,f1_macro,accuracy
0,PXPermute,0.9458047665687235,0.9440596447158458,0.9458047665687235
1,PXPermute,0.9552580013063358,0.9538052823506675,0.9552580013063358
2,PXPermute,0.9363161332462442,0.9347458241163408,0.9363161332462443
3,PXPermute,0.9438275636838668,0.9424364878152001,0.9438275636838668
4,PXPermute,0.9467668190725016,0.9453619103199502,0.9467668190725016
5,DeepLift,0.6392425726412014,0.6364174548496742,0.6392425726412014
6,DeepLift,0.6306335728282169,0.6298926747942065,0.6306335728282169
7,DeepLift,0.6436969301110386,0.6323034414956958,0.6436969301110386
8,DeepLift,0.6534944480731548,0.6450239097738609,0.6534944480731548
9,DeepLift,0.6698236446766819,0.661182461151553,0.6698236446766819
10,IntegratedGradients,0.6415279138099902,0.632073601601945,0.6415279138099902
11,IntegratedGradients,0.6440235140431091,0.6322444725052173,0.6440235140431091
12,IntegratedGradients,0.6361854996734161,0.6214562866745059,0.6361854996734161
13,IntegratedGradients,0.6636185499673416,0.6512786060432098,0.6636185499673416
14,IntegratedGradients,0.666884389288047,0.6569134912823398,0.666884389288047
15,LRP,0.6519751877244532,0.6434732000908471,0.6519751877244532
16,LRP,0.6456564337034618,0.6409382702866631,0.6456564337034618
17,LRP,0.6453298497713913,0.6340319598520866,0.6453298497713913
18,LRP,0.6541476159372959,0.6436725313973213,0.6541476159372959
19,LRP,0.659046374918354,0.6481019224054307,0.659046374918354
20,GuidedGradCAM,0.9474371531178583,0.9458524519585352,0.9474371531178583
21,GuidedGradCAM,0.9490529065969955,0.9478020729157197,0.9490529065969955
22,GuidedGradCAM,0.9402351404310908,0.9384813507740799,0.9402351404310908
23,GuidedGradCAM,0.9428478118876552,0.9412627763189843,0.9428478118876551
24,GuidedGradCAM,0.942194644023514,0.940842058729626,0.942194644023514
