method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,num_channels
PXPermute,0.9693111328762651,0.9685483765254892,0.9693111328762651,1,1,1,0
PXPermute,0.9611492001305909,0.9600234618694719,0.9611492001305909,2,1,1,0
PXPermute,0.9650669278485146,0.9641105877604271,0.9650669278485146,3,1,1,0
PXPermute,0.9647404505386875,0.9637632326135726,0.9647404505386875,4,1,1,0
PXPermute,0.9562520404831865,0.9550395663909141,0.9562520404831865,5,1,1,0
PXPermute,0.9559255631733594,0.954953276709143,0.9559255631733594,1,0,1,1
PXPermute,0.9582109043421482,0.957172257396411,0.9582109043421482,2,0,1,1
PXPermute,0.9826967025791707,0.9822684837232001,0.9826967025791707,3,0,1,1
PXPermute,0.960496245510937,0.9595765949266648,0.960496245510937,4,0,1,1
PXPermute,0.960496245510937,0.9594587277503102,0.960496245510937,5,0,1,1
Occlusion,0.9595168135814561,0.958570181945111,0.9595168135814561,1,1,1,0
Occlusion,0.9591903362716291,0.9578912348330084,0.9591903362716291,2,1,1,0
Occlusion,0.9693111328762651,0.9685679064746694,0.9693111328762651,3,1,1,0
Occlusion,0.9611492001305909,0.9601116576363604,0.9611492001305909,4,1,1,0
Occlusion,0.9826967025791707,0.9822230014140434,0.9826967025791707,5,1,1,0
Occlusion,0.9673522690173033,0.9664251057340614,0.9673522690173033,1,0,1,1
Occlusion,0.9719229513548808,0.9711637489381453,0.9719229513548808,2,0,1,1
Occlusion,0.970290564805746,0.9695679255304921,0.970290564805746,3,0,1,1
Occlusion,0.9781260202415932,0.9775271904668095,0.9781260202415932,4,0,1,1
Occlusion,0.9764936336924583,0.9759043621609242,0.9764936336924583,5,0,1,1
GuidedGradCAM,0.9650669278485146,0.9642172311182708,0.9650669278485146,1,1,1,0
GuidedGradCAM,0.9709435194253999,0.970173978832384,0.9709435194253999,2,1,1,0
GuidedGradCAM,0.9738818152138426,0.9731697297088964,0.9738818152138426,3,1,1,0
GuidedGradCAM,0.9686581782566112,0.9676719133695935,0.9686581782566112,4,1,1,0
GuidedGradCAM,0.9644139732288606,0.9633495197588009,0.9644139732288606,5,1,1,0
GuidedGradCAM,0.9585373816519752,0.9573929363365576,0.9585373816519752,1,0,1,1
GuidedGradCAM,0.9555990858635325,0.9545791169135676,0.9555990858635325,2,0,1,1
GuidedGradCAM,0.9696376101860921,0.9688132152904023,0.9696376101860921,3,0,1,1
GuidedGradCAM,0.9833496571988247,0.9829304679886038,0.9833496571988247,4,0,1,1
GuidedGradCAM,0.9572314724126674,0.9561730446743246,0.9572314724126674,5,0,1,1
DeepLift,0.9575579497224943,0.9562016963634397,0.9575579497224943,1,1,1,0
DeepLift,0.9719229513548808,0.9710529924808857,0.9719229513548808,2,1,1,0
DeepLift,0.9676787463271302,0.9668650260955252,0.9676787463271302,3,1,1,0
DeepLift,0.9719229513548808,0.9712488790666849,0.9719229513548808,4,1,1,0
DeepLift,0.9513548808357819,0.9500231549187257,0.9513548808357819,5,1,1,0
DeepLift,0.673196212863206,0.6684625118930954,0.673196212863206,1,1,0,1
DeepLift,0.673196212863206,0.6683036938590384,0.673196212863206,2,1,0,1
DeepLift,0.6784198498204375,0.6691762177454064,0.6784198498204375,3,1,0,1
DeepLift,0.6869082598759386,0.6764770054284012,0.6869082598759386,4,1,0,1
DeepLift,0.6715638263140712,0.6539522541891235,0.6715638263140712,5,1,0,1
IntegratedGradients,0.9634345412993797,0.9624128295297967,0.9634345412993797,1,1,1,0
IntegratedGradients,0.970617042115573,0.9697622309017342,0.970617042115573,2,1,1,0
IntegratedGradients,0.9670257917074764,0.9661156422834041,0.9670257917074764,3,1,1,0
IntegratedGradients,0.9833496571988247,0.9829160116253317,0.9833496571988247,4,1,1,0
IntegratedGradients,0.9657198824681684,0.9646453103960695,0.9657198824681684,5,1,1,0
IntegratedGradients,0.7091087169441724,0.6975817135056039,0.7091087169441724,1,1,0,1
IntegratedGradients,0.6800522363695723,0.6791658187303016,0.6800522363695723,2,1,0,1
IntegratedGradients,0.6816846229187071,0.6710793329433693,0.6816846229187071,3,1,0,1
IntegratedGradients,0.6940907606921319,0.6854383073914074,0.6940907606921319,4,1,0,1
IntegratedGradients,0.6771139405811296,0.6727926407948097,0.6771139405811296,5,1,0,1
LRP,0.9598432908912831,0.9586421186269036,0.9598432908912831,1,1,1,0
LRP,0.9585373816519752,0.9574575191454342,0.9585373816519752,2,1,1,0
LRP,0.9751877244531505,0.9745333276154351,0.9751877244531505,3,1,1,0
LRP,0.9683317009467842,0.967492988165632,0.9683317009467842,4,1,1,0
LRP,0.978778974861247,0.9782075279940692,0.9787789748612471,5,1,1,0
LRP,0.7113940581129611,0.7031979346891029,0.7113940581129612,1,1,0,1
LRP,0.693437806072478,0.6853863252689357,0.693437806072478,2,1,0,1
LRP,0.663728370878224,0.6604493547128906,0.663728370878224,3,1,0,1
LRP,0.6764609859614756,0.6624518645511923,0.6764609859614756,4,1,0,1
LRP,0.6575253019915116,0.6480723639137719,0.6575253019915116,5,1,0,1
