fold,channel,PXPermute,DeepLift,LRP,GuidedGradCAM,IntegratedGradients
1,BF,-0.903508925,5.13E-05,881.0297478,-8.44E-09,3.56E-05
1,Antibody,-0.875932033,7.14E-06,39.04841871,-6.99E-09,1.76E-06
1,CD18,-0.89138348,3.43E-06,-58.62109995,-9.48E-09,2.07E-06
1,F-Actin,-0.853112709,2.64E-06,-188.1938476,-3.98E-09,1.86E-06
1,MHCII,-0.68377111,-1.32E-06,-93.69262164,-7.71E-09,-6.53E-07
1,CD3,-0.67055609,-1.39E-06,42.12046772,-1.53E-08,2.07E-06
1,P-CD3zeta,-0.647172408,2.84E-06,-522.2173943,3.05E-10,1.68E-06
1,Live-Dead,-0.909705071,8.39E-06,12.70619497,-8.14E-10,5.83E-06
2,BF,0.000333513,1.56E-05,-10.38879162,9.19E-09,1.94E-05
2,Antibody,0.06570689,7.20E-06,-2.661149772,1.93E-09,7.07E-06
2,CD18,0.017831328,1.81E-06,2.364700945,-6.54E-09,1.77E-06
2,F-Actin,0.090998544,3.09E-06,1.074309453,-1.37E-08,2.80E-06
2,MHCII,0.125449696,-1.54E-06,-0.066088011,4.72E-09,-1.29E-06
2,CD3,0.296838313,4.78E-06,1.933980602,-3.76E-08,1.14E-05
2,P-CD3zeta,0.250630093,9.41E-06,3.005504183,9.67E-09,6.73E-06
2,Live-Dead,0.015608725,2.21E-06,1.204784151,4.29E-09,-5.49E-08
1,BF,-0.002055914,5.14E-05,881.0297478,-8.44E-09,3.56E-05
1,Antibody,0.026193202,7.12E-06,39.04841871,-6.99E-09,1.76E-06
1,CD18,0.00946869,3.42E-06,-58.62109995,-9.48E-09,2.07E-06
1,F-Actin,0.047569698,2.63E-06,-188.1938476,-3.98E-09,1.86E-06
1,MHCII,0.21742519,-1.31E-06,-93.69262164,-7.71E-09,-6.53E-07
1,CD3,0.233970809,-1.39E-06,42.12046772,-1.53E-08,2.07E-06
1,P-CD3zeta,0.254398794,2.82E-06,-522.2173943,3.05E-10,1.68E-06
1,Live-Dead,-0.008448425,8.39E-06,12.70619497,-8.14E-10,5.83E-06
4,BF,0.005560556,6.46E-05,-697.7837815,-1.49E-08,6.75E-05
4,Antibody,0.018814775,1.16E-05,11.13616765,-1.87E-08,1.46E-06
4,CD18,0.019356895,2.16E-06,-0.632307945,-5.94E-08,3.26E-06
4,F-Actin,0.060870982,-8.13E-09,-4.006167547,-1.45E-08,-3.13E-06
4,MHCII,0.182179144,2.19E-06,23.9997117,5.01E-08,-2.40E-06
4,CD3,0.14235164,-2.99E-07,11.10295506,-1.38E-07,1.19E-05
4,P-CD3zeta,0.264751461,1.54E-06,-30.54675002,-6.82E-10,-1.54E-05
4,Live-Dead,-0.002916495,7.98E-06,2.766866012,1.79E-08,5.42E-06
5,BF,0.005900358,3.18E-05,160.5553007,-6.71E-09,4.86E-05
5,Antibody,0.051571885,5.89E-06,58.51080871,-2.64E-08,-4.23E-07
5,CD18,0.00956695,1.45E-06,-3.551677119,-1.28E-08,3.09E-06
5,F-Actin,0.060149369,2.54E-06,-4.27551976,-3.18E-08,5.55E-07
5,MHCII,0.16233526,1.27E-06,-18.35670704,-2.31E-08,1.63E-06
5,CD3,0.305562518,2.38E-06,-8.504885096,-1.35E-07,-9.24E-08
5,P-CD3zeta,0.257310062,1.41E-06,-22.06117588,2.46E-08,-7.44E-06
5,Live-Dead,-0.000348481,1.77E-05,-2.286230965,-1.46E-08,2.11E-05
3,BF,-0.002369932,6.71E-05,356.1129958,-6.65E-09,4.98E-05
3,Antibody,0.032652942,1.62E-05,18.29205729,-8.20E-09,6.74E-06
3,CD18,-0.005100958,1.63E-06,0.757391412,-1.01E-08,8.15E-07
3,F-Actin,0.072689746,4.86E-07,0.698690969,-1.56E-08,3.90E-07
3,MHCII,0.159443805,-3.72E-06,-9.520511745,-1.67E-08,-2.70E-06
3,CD3,0.253565209,-7.57E-06,-4.722511093,-3.61E-08,-1.07E-05
3,P-CD3zeta,0.250994496,1.10E-05,131.7243154,2.64E-08,5.87E-06
3,Live-Dead,-0.005864878,1.48E-06,81.85101289,-1.33E-08,5.77E-06
