,method,f1_micro,f1_macro,accuracy
0,PXPermute,0.9004784688995215,0.8971537826709852,0.9004784688995215
1,PXPermute,0.882183908045977,0.8785334644228383,0.882183908045977
2,PXPermute,0.8869731800766284,0.8835931739984363,0.8869731800766284
3,PXPermute,0.8917624521072797,0.8890166957009255,0.8917624521072797
4,PXPermute,0.8879310344827587,0.8835109248479992,0.8879310344827587
5,DeepLift,0.7578947368421053,0.7514765072401919,0.7578947368421053
6,DeepLift,0.7049808429118773,0.7072474536678803,0.7049808429118773
7,DeepLift,0.7097701149425286,0.7070305023499842,0.7097701149425287
8,DeepLift,0.7279693486590038,0.722779981498425,0.7279693486590039
9,DeepLift,0.7241379310344829,0.7222529703790369,0.7241379310344828
10,LRP,0.7559808612440191,0.7495933927330458,0.7559808612440191
11,LRP,0.7519157088122606,0.7500834768306859,0.7519157088122606
12,LRP,0.7155172413793104,0.7078329878050226,0.7155172413793104
13,LRP,0.7662835249042147,0.7585647631796965,0.7662835249042146
14,LRP,0.7068965517241379,0.6989243917223941,0.7068965517241379
15,GuidedGradCAM,0.8497607655502393,0.8473362260220456,0.8497607655502393
16,GuidedGradCAM,0.8419540229885057,0.8393903079938183,0.8419540229885057
17,GuidedGradCAM,0.8342911877394636,0.8308087627018659,0.8342911877394636
18,GuidedGradCAM,0.8591954022988507,0.855899635895573,0.8591954022988506
19,GuidedGradCAM,0.8524904214559387,0.8488874162709051,0.8524904214559387
20,IntegratedGradients,0.7732057416267943,0.7692917304503026,0.7732057416267942
21,IntegratedGradients,0.7413793103448276,0.7312262667848661,0.7413793103448276
22,IntegratedGradients,0.7222222222222222,0.715435332298252,0.7222222222222222
23,IntegratedGradients,0.7375478927203065,0.7329017734736522,0.7375478927203065
24,IntegratedGradients,0.721264367816092,0.7141578015459009,0.7212643678160919
