method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,num_channels
PXPermute,0.9464114832535884,0.9448073404306516,0.9464114832535884,1,1,1,1,1,1,1,1,1,0
PXPermute,0.939712918660287,0.9383232097867938,0.939712918660287,2,1,1,1,1,1,1,1,1,0
PXPermute,0.9578947368421052,0.956336474376046,0.9578947368421052,3,1,1,1,1,1,1,1,1,0
PXPermute,0.9492822966507176,0.948063392825926,0.9492822966507176,4,1,1,1,1,1,1,1,1,0
PXPermute,0.9473684210526316,0.9459407625745884,0.9473684210526316,5,1,1,1,1,1,1,1,1,0
PXPermute,0.9023923444976076,0.8989328806907836,0.9023923444976076,1,1,1,1,1,1,1,1,0,1
PXPermute,0.9157894736842104,0.9133899296505552,0.9157894736842104,2,1,1,1,1,1,1,1,0,1
PXPermute,0.9559808612440192,0.954733488528253,0.9559808612440192,3,1,1,1,1,1,1,1,0,1
PXPermute,0.9473684210526316,0.9452253265644256,0.9473684210526316,4,1,1,1,1,1,1,1,0,1
PXPermute,0.9444976076555024,0.9423192719516404,0.9444976076555024,5,1,1,1,1,1,1,1,0,1
PXPermute,0.938755980861244,0.9374328737490896,0.938755980861244,1,0,1,1,1,1,1,1,0,2
PXPermute,0.9425837320574164,0.9406246776944444,0.9425837320574164,2,0,1,1,1,1,1,1,0,2
PXPermute,0.937799043062201,0.9363374050663784,0.937799043062201,3,0,1,1,1,1,1,1,0,2
PXPermute,0.9502392344497608,0.949160959565923,0.9502392344497608,4,0,1,1,1,1,1,1,0,2
PXPermute,0.9454545454545454,0.943649670646916,0.9454545454545454,5,0,1,1,1,1,1,1,0,2
PXPermute,0.9023923444976076,0.9000714333115248,0.9023923444976076,1,0,0,1,1,1,1,1,0,3
PXPermute,0.9473684210526316,0.9458378155655456,0.9473684210526316,2,0,0,1,1,1,1,1,0,3
PXPermute,0.9492822966507176,0.947626025497052,0.9492822966507176,3,0,0,1,1,1,1,1,0,3
PXPermute,0.9263157894736842,0.924835925744404,0.9263157894736842,4,0,0,1,1,1,1,1,0,3
PXPermute,0.939712918660287,0.9377239387358886,0.939712918660287,5,0,0,1,1,1,1,1,0,3
PXPermute,0.9320574162679426,0.9304146223237696,0.9320574162679426,1,0,0,0,1,1,1,1,0,4
