method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,num_channels
GuidedGradCAM,0.991048593,0.976345486,0.991048593,1,1,1,1,1,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.991528133,0.978274304,0.991528133,2,1,1,1,1,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.990089514,0.975207161,0.990089514,3,1,1,1,1,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.989130435,0.972055673,0.989130435,4,1,1,1,1,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.990569054,0.977074906,0.990569054,5,1,1,1,1,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.987372123,0.965971657,0.987372123,1,1,1,1,1,1,1,0,1,1,1,1,1,1
GuidedGradCAM,0.991528133,0.977044236,0.991528133,2,1,1,1,1,1,1,0,1,1,1,1,1,1
GuidedGradCAM,0.991368286,0.977561673,0.991368286,3,1,1,1,1,1,1,0,1,1,1,1,1,1
GuidedGradCAM,0.991368286,0.977741102,0.991368286,4,1,1,1,1,1,1,0,1,1,1,1,1,1
GuidedGradCAM,0.985773657,0.961055707,0.985773657,5,1,1,1,1,1,1,0,1,1,1,1,1,1
GuidedGradCAM,0.9888107416879796,0.969310330779257,0.9888107416879796,1,1,1,1,1,1,1,0,1,1,0,1,1,2
GuidedGradCAM,0.987531969309463,0.9661148120823078,0.987531969309463,2,1,1,1,1,1,1,0,1,1,0,1,1,2
GuidedGradCAM,0.9889705882352942,0.9703911104556516,0.9889705882352942,3,1,1,1,1,1,1,0,1,1,0,1,1,2
GuidedGradCAM,0.990888746803069,0.9755898293250193,0.990888746803069,4,1,1,1,1,1,1,0,1,1,0,1,1,2
GuidedGradCAM,0.9888107416879796,0.9703476017704352,0.9888107416879796,5,1,1,1,1,1,1,0,1,1,0,1,1,2
GuidedGradCAM,0.9868925831202046,0.9617428996106744,0.9868925831202046,1,1,1,0,1,1,1,0,1,1,0,1,1,3
GuidedGradCAM,0.9934462915601024,0.9831547297456252,0.9934462915601024,2,1,1,0,1,1,1,0,1,1,0,1,1,3
GuidedGradCAM,0.9870524296675192,0.9633554296190104,0.9870524296675192,3,1,1,0,1,1,1,0,1,1,0,1,1,3
GuidedGradCAM,0.9880115089514068,0.967158980400812,0.9880115089514068,4,1,1,0,1,1,1,0,1,1,0,1,1,3
GuidedGradCAM,0.989450127877238,0.9724881859908432,0.989450127877238,5,1,1,0,1,1,1,0,1,1,0,1,1,3
GuidedGradCAM,0.9865728900255756,0.9642640608141522,0.9865728900255756,1,1,1,0,1,1,1,0,1,1,0,1,0,4
GuidedGradCAM,0.9803388746803068,0.9479466631226248,0.9803388746803068,2,1,1,0,1,1,1,0,1,1,0,1,0,4
GuidedGradCAM,0.9812979539641944,0.9516513447071078,0.9812979539641944,3,1,1,0,1,1,1,0,1,1,0,1,0,4
GuidedGradCAM,0.9870524296675192,0.9672335529245464,0.9870524296675192,4,1,1,0,1,1,1,0,1,1,0,1,0,4
GuidedGradCAM,0.9862531969309464,0.9647202356270758,0.9862531969309464,5,1,1,0,1,1,1,0,1,1,0,1,0,4
GuidedGradCAM,0.9777813299232736,0.938944880484372,0.9777813299232736,1,1,1,0,1,1,0,0,1,1,0,1,0,5
GuidedGradCAM,0.9851342710997444,0.9605202690277022,0.9851342710997444,2,1,1,0,1,1,0,0,1,1,0,1,0,5
GuidedGradCAM,0.9862531969309464,0.9628047569258876,0.9862531969309464,3,1,1,0,1,1,0,0,1,1,0,1,0,5
GuidedGradCAM,0.987531969309463,0.9675253215115012,0.987531969309463,4,1,1,0,1,1,0,0,1,1,0,1,0,5
GuidedGradCAM,0.9812979539641944,0.9495897245487304,0.9812979539641944,5,1,1,0,1,1,0,0,1,1,0,1,0,5
GuidedGradCAM,0.9889705882352942,0.9703089468282532,0.9889705882352942,1,1,0,0,1,1,0,0,1,1,0,1,0,6
GuidedGradCAM,0.983375959079284,0.956444311842877,0.983375959079284,2,1,0,0,1,1,0,0,1,1,0,1,0,6
GuidedGradCAM,0.976182864450128,0.9352786968943836,0.976182864450128,3,1,0,0,1,1,0,0,1,1,0,1,0,6
GuidedGradCAM,0.9768222506393862,0.9354936418607918,0.9768222506393862,4,1,0,0,1,1,0,0,1,1,0,1,0,6
GuidedGradCAM,0.9843350383631714,0.9575362855917208,0.9843350383631714,5,1,0,0,1,1,0,0,1,1,0,1,0,6
GuidedGradCAM,0.9896099744245525,0.9721153791521552,0.9896099744245525,1,1,0,0,1,1,0,0,0,1,0,1,0,7
GuidedGradCAM,0.9846547314578004,0.96102819529332,0.9846547314578004,2,1,0,0,1,1,0,0,0,1,0,1,0,7
